scheme_code,covid_drawdown_pct,scheme_name
118276,-0.302788844621514,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)
118275,-0.3028266455821309,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION
101922,-0.30403587443946184,CANARA ROBECO FLEXICAP FUND - REGULAR PLAN - GROWTH OPTION
101923,-0.3041513696695848,CANARA ROBECO FLEXICAP FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)
120492,-0.32857596948506046,JM Flexicap Fund (Direct) - Growth Option
120491,-0.3285763827164452,JM Flexicap Fund (Direct) - IDCW
109522,-0.32931890609945896,JM Flexicap Fund (Regular) - Growth option
109523,-0.32931976488257075,JM Flexicap Fund (Regular) - IDCW
119717,-0.3452858721572733,SBI Flexicap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
119718,-0.3452875200543626,SBI Flexicap Fund - DIRECT PLAN - Growth Option
103216,-0.34614521378072055,SBI Flexicap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
103215,-0.3461863981017012,SBI Flexicap Fund - REGULAR PLAN -Growth Option
120165,-0.36,Kotak Flexicap Fund - Payout of Income Distribution cum capital withdrawal option- Direct
120166,-0.3600009873861421,Kotak Flexicap Fund - Growth - Direct
112090,-0.3610567514677103,Kotak Flexicap Fund - Growth
112089,-0.3610784478414245,Kotak Flexicap Fund - Payout of Income Distribution cum capital withdrawal option
