scheme_code,cagr_1y,cagr_3y,cagr_5y,cagr_10y,annual_volatility,max_drawdown,sharpe_3y,data_start,data_end,scheme_name,fund_house,scheme_category,expense_ratio,aum_cr
101922,0.0158465708344937,0.1144193814455918,0.1066579508967624,0.1355577933530691,0.2985258266302691,-1.0,0.1822937132772483,2006-04-03,2026-07-31,CANARA ROBECO FLEXICAP FUND - REGULAR PLAN - GROWTH OPTION,Canara Robeco Mutual Fund,Equity Scheme - Flexi Cap Fund,1.03,13327.72
101923,-0.0350267612378747,0.0572774903658481,0.051680771915926,0.0611164775221175,0.3035262920858443,-1.0,-0.0089696006742698,2006-04-03,2026-07-31,CANARA ROBECO FLEXICAP FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),Canara Robeco Mutual Fund,Equity Scheme - Flexi Cap Fund,1.05,13327.72
103215,0.0077298159470982,0.0809968032794121,0.0890092424265092,0.11174666985939,0.1911288415045233,-0.6489675516224189,0.1098568019045689,2006-04-03,2026-07-31,SBI Flexicap Fund - REGULAR PLAN -Growth Option,SBI Mutual Fund,Equity Scheme - Flexi Cap Fund,1.28,22685.0
103216,0.0077334854539992,0.0809981197149234,0.0890084118177603,0.0808068066838607,0.2028885557316395,-0.695673076923077,0.1034958311926554,2006-04-03,2026-07-31,SBI Flexicap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),SBI Mutual Fund,Equity Scheme - Flexi Cap Fund,1.3,22685.0
109522,0.0266352118706747,0.1441045878614451,0.1617574304530924,0.1536762853796405,0.2088085893720475,-0.424090194864031,0.4027831810672816,2008-09-25,2026-07-31,JM Flexicap Fund (Regular) - Growth option,JM Financial Mutual Fund,Equity Scheme - Flexi Cap Fund,1.63,5177.88
109523,0.0266345789777284,0.1441048973225436,0.1617572446340351,0.1321864049221164,0.2135529682721633,-0.4240550040081395,0.3938362365226214,2008-09-25,2026-07-31,JM Flexicap Fund (Regular) - IDCW,JM Financial Mutual Fund,Equity Scheme - Flexi Cap Fund,1.65,5177.88
112089,0.0157255532821383,0.12302799698617,0.1156045351773138,0.0955204947575814,0.1615623601438936,-0.4028573671402778,0.3901155995123798,2009-09-17,2026-07-31,Kotak Flexicap Fund - Payout of Income Distribution cum capital withdrawal option,Kotak Mahindra Mutual Fund,Equity Scheme - Flexi Cap Fund,1.19,55850.29
112090,0.0157475282104626,0.1230326229126288,0.115606190357866,0.1279802234348279,0.1561732741990399,-0.3741970576046414,0.4036069758792078,2009-09-17,2026-07-31,Kotak Flexicap Fund - Growth,Kotak Mahindra Mutual Fund,Equity Scheme - Flexi Cap Fund,1.17,55850.29
118275,0.0275418034810019,0.1272473961688862,0.1201609916689443,0.1478356716897002,0.1552694418591521,-0.3323869013817907,0.4331012938778232,2013-01-02,2026-07-31,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION,Canara Robeco Mutual Fund,Equity Scheme - Flexi Cap Fund,0.45,13327.72
118276,-0.0239841199293265,0.0694574686376781,0.0646577725760801,0.0804146868242239,0.1630975223796001,-0.3629413906079359,0.0579865867960053,2013-01-02,2026-07-31,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),Canara Robeco Mutual Fund,Equity Scheme - Flexi Cap Fund,0.46,13327.72
119717,0.0160013061931993,0.0900049204821742,0.0984115437332302,0.0910819054787193,0.1591081940684457,-0.4127605185590943,0.1885818681925747,2013-01-08,2026-07-31,SBI Flexicap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),SBI Mutual Fund,Equity Scheme - Flexi Cap Fund,0.71,22685.0
119718,0.0160008547871643,0.0900054747285417,0.0984111109115135,0.1223271080735499,0.1498049663763756,-0.3580008480645954,0.200296929096161,2013-01-07,2026-07-31,SBI Flexicap Fund - DIRECT PLAN - Growth Option,SBI Mutual Fund,Equity Scheme - Flexi Cap Fund,0.7,22685.0
120165,0.0243106352505824,0.1326364894737477,0.1255004814316196,0.1071507811431207,0.162323998970304,-0.391038170754195,0.4474784377819327,2013-01-17,2026-07-31,Kotak Flexicap Fund - Payout of Income Distribution cum capital withdrawal option- Direct,Kotak Mahindra Mutual Fund,Equity Scheme - Flexi Cap Fund,0.6,55850.29
120166,0.0243033594132198,0.1326308141379517,0.1254942762115782,0.1388693439123531,0.1581137640546392,-0.3730625075565227,0.4593579475652278,2013-01-04,2026-07-31,Kotak Flexicap Fund - Growth - Direct,Kotak Mahindra Mutual Fund,Equity Scheme - Flexi Cap Fund,0.59,55850.29
120491,0.0392973943796222,0.1594794651899724,0.175021256939297,0.1648109278417195,0.1728502182218214,-0.3495083133581224,0.5755240937116369,2013-01-02,2026-07-31,JM Flexicap Fund (Direct) - IDCW,JM Financial Mutual Fund,Equity Scheme - Flexi Cap Fund,1.06,5177.88
120492,0.0392972874340389,0.1594793883037182,0.1750210268311522,0.1656604992363783,0.172833761826457,-0.3495061167612346,0.5755784474772112,2013-01-02,2026-07-31,JM Flexicap Fund (Direct) - Growth Option,JM Financial Mutual Fund,Equity Scheme - Flexi Cap Fund,1.05,5177.88
148988,0.0135387409338587,0.0984273540382796,0.1142370011522428,,0.1474017458215063,-0.2819738167170191,0.2606980929846826,2021-07-19,2026-07-31,ICICI Prudential Flexicap Fund - IDCW,ICICI Prudential Mutual Fund,Equity Scheme - Flexi Cap Fund,1.26,22506.88
