scheme_code,cagr_1y,cagr_3y,cagr_5y,cagr_10y,annual_volatility,max_drawdown,sharpe_3y,data_start,data_end,scheme_name,fund_house,scheme_category,expense_ratio,aum_cr,category_group
100363,-0.0390340222244202,0.0814548058883042,0.0531556370585692,0.1637306226465107,0.2030032056729407,-0.7016666666666667,0.1056870300012412,2006-04-02,2026-08-06,ICICI Prudential Technology Fund - Growth,ICICI Prudential Mutual Fund,Equity Scheme - Sectoral/ Thematic,1.72,7524,Equity
100377,0.1227241814412569,0.2093045492106326,0.1902007048593905,0.1799632965897568,0.1949994206991207,-0.6265177189409369,0.7656666295486381,2006-04-03,2026-08-06,Nippon India Growth Mid Cap Fund-Growth Plan-Growth Option,Nippon India Mutual Fund,Equity Scheme - Mid Cap Fund,1.54,17100,Equity
100651,0.006075606872838,0.0860413045054726,0.0820560945238861,0.1095114493135822,0.1829876392958273,-0.5555945898471808,0.1423118228405194,2006-04-03,2026-08-06,UTI Large Cap Fund - Regular Plan - Growth Option,UTI Mutual Fund,Equity Scheme - Large Cap Fund,1.25,22600,Equity
101042,0.0298617711910622,0.060030918004889,0.0538901197985079,0.0584722451502739,0.2308321124806855,-1.0,0.000133941523806,2006-04-03,2026-08-06,Tata Gilt Securities Fund -Regular Plan- Growth Option,Tata Mutual Fund,Debt Scheme - Gilt Fund,0.73,12524,Debt
101862,0.0578316034763528,0.1298079358036317,0.1347535133912798,0.1302206030039565,0.2433380864886888,-0.5742112715944492,0.2868763242571015,2006-04-03,2026-08-06,Nippon India Banking & Financial Services Fund-Growth Plan-Growth Option,Nippon India Mutual Fund,Equity Scheme - Sectoral/ Thematic,1.65,4164,Equity
102395,0.0543480672498311,0.1543467425529778,0.1470194101597133,0.1284928801276377,0.2087612825765345,-0.6203155818540433,0.4519360170073162,2006-04-03,2026-08-06,UTI Infrastructure Fund-Growth Option,UTI Mutual Fund,Equity Scheme - Sectoral/ Thematic,1.7,6780,Equity
102913,0.0599478166070863,0.0697011432933374,0.0610455450462774,0.0637578739204252,0.0056527465118498,-0.0145794667186297,1.7161822616671174,2006-04-01,2026-08-06,CANARA ROBECO SAVINGS FUND - REGULAR PLAN - GROWTH OPTION,Canara Robeco Mutual Fund,Debt Scheme - Low Duration Fund,0.71,11780,Debt
103168,-0.0211211872922635,0.0632183536802453,0.0533551018303688,0.160603992532013,0.2037114515365824,-0.6614690192860073,0.0157985898974725,2006-04-03,2026-08-06,Aditya Birla Sun Life Digital India Fund - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,Equity Scheme - Sectoral/ Thematic,1.73,7992,Equity
104637,0.052440399617444,0.1155803132016024,0.1156014117756061,0.1286616828740587,0.177222759644009,-0.6214156677905862,0.313618371101137,2006-12-27,2026-08-06,Nippon India Focused Fund -Growth Plan -Growth Option,Nippon India Mutual Fund,Equity Scheme - Focused Fund,1.36,12345,Equity
105823,0.0497813659603902,0.0693634879232139,0.0581389756635393,0.0653424415585879,0.404848361176721,-1.0,0.0231283829234191,2007-05-31,2026-08-06,LIC MF Banking & PSU Fund-Regular Plan-Growth,LIC Mutual Fund,Debt Scheme - Banking and PSU Fund,0.6,4916,Debt
