category,scheme_name,benchmark,return_1y_direct,return_3y_direct,return_5y_direct,scheme_code,matched_name
Large Cap,Aditya Birla Sun Life Large Cap Fund,Nifty 100 TRI,2.6996078,12.010591,11.359624,119528,Aditya Birla Sun Life Large Cap Fund - Growth - Direct Plan
Large Cap,Axis Large Cap Fund,BSE 100 TRI,3.8791225,11.113536,8.205929,120465,Axis Large Cap Fund - Direct Plan - Growth
Large Cap,Bajaj Finserv Large Cap Fund,Nifty 100 TRI,7.990706,,,152408,Bajaj Finserv Large and Mid Cap Fund- Direct Plan- Growth
Large Cap,Bandhan Large Cap Fund,BSE 100 TRI,6.107637,14.7437525,12.7151375,118419,Bandhan Large & Mid Cap Fund - Direct Plan - Growth
Large Cap,Bank of India Large Cap Fund,Nifty 100 TRI,9.046752,14.485656,11.518053,118531,Franklin India Large Cap Fund- Direct - Growth
Large Cap,Baroda BNP Paribas Large Cap Fund,Nifty 100 TRI,4.608397,13.603746,12.552807,148474,Baroda BNP Paribas Large and Mid Cap Fund- Direct Plan -Growth Option
Large Cap,Canara Robeco Large Cap Fund,BSE 100 TRI,2.0766995,12.485195,11.184874,150817,Canara Robeco Mid Cap Fund- Direct Plan- Growth Option
Large Cap,DSP Large Cap Fund,Nifty 100 TRI,1.3211526,12.99074,10.942993,119250,DSP Large Cap Fund - Direct Plan - Growth
Large Cap,Edelweiss Large Cap Fund,Nifty 100 TRI,4.676259,12.159204,11.989546,118617,Edelweiss Large Cap Fund - Direct Plan-Growth option
Large Cap,Franklin India Large Cap Fund,Nifty 100 TRI,3.9664516,11.891292,9.9013815,118531,Franklin India Large Cap Fund- Direct - Growth
Large Cap,Groww Large Cap Fund,Nifty 100 TRI,4.6571035,12.946174,11.317414,154063,Groww Small Cap Fund-Direct-Growth
Large Cap,HDFC Large Cap Fund,Nifty 100 TRI,3.487861,11.637964,13.076533,120030,HSBC Large Cap Fund - Direct Growth
Large Cap,HSBC Large Cap Fund,Nifty 100 TRI,5.437217,12.392437,11.183526,120030,HSBC Large Cap Fund - Direct Growth
Large Cap,ICICI Prudential Large Cap Fund,Nifty 100 TRI,2.0788112,13.4486475,13.427354,120596,ICICI Prudential Large & Mid Cap Fund - Direct Plan - Growth
Large Cap,ITI Large Cap Fund,Nifty 100 TRI,4.083846,12.102435,10.728799,120030,HSBC Large Cap Fund - Direct Growth
Large Cap,Invesco India Largecap Fund,Nifty 100 TRI,9.054351,15.997203,13.4926605,120392,Invesco India Largecap Fund - Direct Plan - Growth
Large Cap,JM Large Cap Fund,BSE 100 TRI,6.3718705,13.250659,12.545097,120030,HSBC Large Cap Fund - Direct Growth
Large Cap,JioBlackRock Large Cap Fund,BSE 100 TRI,,,,154307,JioBlackRock Large Cap Fund - Direct Plan - Growth Option
Large Cap,Kotak Large Cap Fund,Nifty 100 TRI,3.597357,12.723216,11.593302,120152,Kotak Large Cap  Fund - Growth - Direct
Large Cap,LIC MF Large Cap Fund,Nifty 100 TRI,0.6520451,9.965432,9.185772,120267,LIC MF Large Cap Fund-Direct Plan-Growth
Large Cap,Mahindra Manulife Large Cap Fund,Nifty 100 TRI,1.3219029,11.323349,10.901046,146549,Mahindra Manulife Large Cap Fund - Direct Plan -Growth
Large Cap,Mirae Asset Large Cap Fund,Nifty 100 TRI,3.7846737,10.780949,10.182194,118825,Mirae Asset Large Cap Fund - Direct Plan - Growth
