category,scheme_name,benchmark,return_1y_direct,return_3y_direct,return_5y_direct
Large Cap,Aditya Birla Sun Life Large Cap Fund,Nifty 100 TRI,2.6996078,12.010591,11.359624
Large Cap,Axis Large Cap Fund,BSE 100 TRI,3.8791225,11.113536,8.205929
Large Cap,Bajaj Finserv Large Cap Fund,Nifty 100 TRI,7.990706,,
Large Cap,Bandhan Large Cap Fund,BSE 100 TRI,6.107637,14.7437525,12.7151375
Large Cap,Bank of India Large Cap Fund,Nifty 100 TRI,9.046752,14.485656,11.518053
Large Cap,Baroda BNP Paribas Large Cap Fund,Nifty 100 TRI,4.608397,13.603746,12.552807
Large Cap,Canara Robeco Large Cap Fund,BSE 100 TRI,2.0766995,12.485195,11.184874
Large Cap,DSP Large Cap Fund,Nifty 100 TRI,1.3211526,12.99074,10.942993
Large Cap,Edelweiss Large Cap Fund,Nifty 100 TRI,4.676259,12.159204,11.989546
Large Cap,Franklin India Large Cap Fund,Nifty 100 TRI,3.9664516,11.891292,9.9013815
Large Cap,Groww Large Cap Fund,Nifty 100 TRI,4.6571035,12.946174,11.317414
Large Cap,HDFC Large Cap Fund,Nifty 100 TRI,3.487861,11.637964,13.076533
Large Cap,HSBC Large Cap Fund,Nifty 100 TRI,5.437217,12.392437,11.183526
Large Cap,ICICI Prudential Large Cap Fund,Nifty 100 TRI,2.0788112,13.4486475,13.427354
Large Cap,ITI Large Cap Fund,Nifty 100 TRI,4.083846,12.102435,10.728799
Large Cap,Invesco India Largecap Fund,Nifty 100 TRI,9.054351,15.997203,13.4926605
Large Cap,JM Large Cap Fund,BSE 100 TRI,6.3718705,13.250659,12.545097
Large Cap,JioBlackRock Large Cap Fund,BSE 100 TRI,,,
Large Cap,Kotak Large Cap Fund,Nifty 100 TRI,3.597357,12.723216,11.593302
Large Cap,LIC MF Large Cap Fund,Nifty 100 TRI,0.6520451,9.965432,9.185772
Large Cap,Mahindra Manulife Large Cap Fund,Nifty 100 TRI,1.3219029,11.323349,10.901046
Large Cap,Mirae Asset Large Cap Fund,Nifty 100 TRI,3.7846737,10.780949,10.182194
Large Cap,Motilal Oswal Large Cap Fund,Nifty 100 TRI,1.9827279,,
Large Cap,Nippon India Large Cap Fund,BSE 100 TRI,2.929842,13.694688,15.6171465
Large Cap,PGIM India Large Cap Fund,Nifty 100 TRI,2.2741487,9.398256,8.813879
Large Cap,Parag Parikh Large Cap Fund,Nifty 100 TRI,,,
Large Cap,Quant Large Cap Fund,Nifty 100 TRI,11.04862,15.631605,
Large Cap,SBI Large Cap Fund,BSE 100 TRI,4.458567,11.087264,11.227901
Large Cap,Samco Large Cap Fund,Nifty 100 TRI,-5.995935,,
Large Cap,Sundaram Large Cap Fund,Nifty 100 TRI,3.6135037,9.951771,10.271392
Large Cap,Tata Large Cap Fund,Nifty 100 TRI,6.923592,12.559025,11.808255
Large Cap,Taurus Large Cap Fund,BSE 100 TRI,9.080943,14.71559,11.430261
Large Cap,UTI Large Cap Fund,BSE 100 TRI,1.0127494,9.546957,9.077422
Large Cap,Union Largecap Fund,BSE 100 TRI,2.144013,9.905182,9.603362
Large Cap,WhiteOak Capital Large Cap Fund,BSE 100 TRI,5.5693393,15.42542,
Large & Mid Cap,Aditya Birla Sun Life Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,9.498162,13.633653,9.767877
Large & Mid Cap,Axis Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,10.022396,17.26584,14.026669
Large & Mid Cap,Bajaj Finserv Large and Mid Cap Fund,Nifty LargeMidcap 250 TRI,6.040704,,
Large & Mid Cap,Bandhan Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,8.693505,20.285187,17.887365
Large & Mid Cap,Bank of India Large & Mid Cap Fund,BSE 250 Large MidCap TRI,10.931626,15.690526,13.108636
Large & Mid Cap,Baroda BNP Paribas Large and Mid Cap Fund,BSE 250 Large MidCap TRI,7.229664,16.015516,14.934144
Large & Mid Cap,Canara Robeco Large and Mid Cap Fund,Nifty LargeMidcap 250 TRI,3.4641638,14.964186,12.681723
Large & Mid Cap,DSP Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,5.456703,16.48589,13.576731
Large & Mid Cap,Edelweiss Large and Mid Cap Fund,Nifty LargeMidcap 250 TRI,8.773587,16.680231,14.595
Large & Mid Cap,Franklin India Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,4.4807763,13.816968,11.88674
Large & Mid Cap,HDFC Large and Mid Cap Fund,Nifty LargeMidcap 250 TRI,6.6962004,15.831812,16.543312
Large & Mid Cap,HSBC Large & Midcap Fund,Nifty LargeMidcap 250 TRI,14.526899,20.021097,16.73856
Large & Mid Cap,Helios Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,9.559513,,
Large & Mid Cap,ICICI Prudential Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,10.47572,18.350084,18.361317
Large & Mid Cap,ITI Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,7.385136,,
Large & Mid Cap,Invesco India Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,12.852083,25.288263,18.759762
Large & Mid Cap,JM Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,9.865991,,
Large & Mid Cap,Kotak Large & Midcap Fund,Nifty LargeMidcap 250 TRI,7.829439,16.18331,15.25643
Large & Mid Cap,LIC MF Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,5.566173,16.51802,13.846334
Large & Mid Cap,Mahindra Manulife Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,6.607717,14.682247,14.477961
Large & Mid Cap,Mirae Asset Large & Midcap Fund,Nifty LargeMidcap 250 TRI,9.392854,14.735789,12.625784
Large & Mid Cap,Motilal Oswal Large and Midcap Fund,Nifty LargeMidcap 250 TRI,9.117998,23.40173,19.372725
Large & Mid Cap,Navi Large & Midcap Fund,Nifty LargeMidcap 250 TRI,8.767521,12.243017,12.963783
Large & Mid Cap,Nippon India Vision Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,6.5688043,17.440392,15.18518
Large & Mid Cap,PGIM India Large and Midcap Fund,Nifty LargeMidcap 250 TRI,4.7619047,,
Large & Mid Cap,Quant Large and Mid Cap Fund,Nifty LargeMidcap 250 TRI,14.173263,17.883347,17.53297
Large & Mid Cap,SBI Large & Midcap Fund,Nifty LargeMidcap 250 TRI,8.948504,15.345731,15.080483
Large & Mid Cap,Samco Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,-5.6133056,,
Large & Mid Cap,Sundaram Large and Mid Cap Fund,Nifty LargeMidcap 250 TRI,12.907133,16.5045,14.1083765
Large & Mid Cap,Tata Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,-1.0271806,9.526889,11.564593
Large & Mid Cap,The Wealth Company Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,,,
Large & Mid Cap,UTI Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,7.763968,17.699444,15.621265
Large & Mid Cap,Union Large and Mid Cap Fund,Nifty LargeMidcap 250 TRI,9.848764,14.835892,13.913605
Large & Mid Cap,WhiteOak Capital Large & Mid Cap Fund,BSE 250 Large MidCap TRI,10.679611,,
Flexi Cap,360 ONE Flexicap Fund,BSE 500 TRI,11.871561,19.11727,
Flexi Cap,Abakkus Flexi Cap Fund,BSE 500 TRI,,,
Flexi Cap,Aditya Birla Sun Life Flexi Cap Fund,Nifty 500 TRI,13.544871,17.30301,13.567915
Flexi Cap,Axis Flexi Cap Fund,Nifty 500 TRI,7.613868,15.167935,10.862657
Flexi Cap,Bajaj Finserv Flexi Cap Fund,BSE 500 TRI,10.823466,,
Flexi Cap,Bandhan Flexi Cap Fund,BSE 500 TRI,5.3405476,14.089101,11.722816
Flexi Cap,Bank of India Flexi Cap Fund,BSE 500 TRI,15.05876,21.460608,17.4986
Flexi Cap,Baroda BNP Paribas Flexi Cap Fund,Nifty 500 TRI,6.5291543,14.834446,
