scheme_code,expense_ratio,aum_cr
151796,0.51,2118.85
151798,0.52,2118.85
151799,1.09,2118.85
151797,1.11,2118.85
118275,0.45,13327.72
118276,0.46,13327.72
101922,1.03,13327.72
101923,1.05,13327.72
148990,0.67,22506.88
148991,0.68,22506.88
148989,1.24,22506.88
148988,1.26,22506.88
120492,1.05,5177.88
120491,1.06,5177.88
109522,1.63,5177.88
109523,1.65,5177.88
120166,0.59,55850.29
120165,0.60,55850.29
112090,1.17,55850.29
112089,1.19,55850.29
119718,0.70,22685.00
119717,0.71,22685.00
103215,1.28,22685.00
103216,1.30,22685.00
150571,0.64,1912.41
150573,0.65,1912.41
150572,0.66,1912.41
150568,1.22,1912.41
150569,1.24,1912.41
150570,1.25,1912.41
