scheme_code,scheme_name
Scheme Code,Scheme Name
141755,UTI FTIF Series XXVII-VI (1113 Days) - Regular Plan - Quarterly Div Option
110014,ICICI Prudential Interval Fund II Quarterly Interval Plan D - Dividend
141466,UTI Capital Protection Oriented Scheme Series IX-II ( 1462 Days) - Direct Plan - Growth Option
143128,ICICI Prudential Fixed Maturity Plan - Series 82 - 1119 Days Plan X - Direct Plan Quarterly IDCW Option
139822,PGIM India Aggressive Hybrid Equity Fund-Quarterly Dividend Option
135087,Reliance Dual Advantage Fixed Tenure Fund VIII- Plan A- Growth Option
122228,Reliance Yearly Interval Fund - Series 7- Dividend Option
141577,UTI FTIF Series XXVII-III (1096 Days) - Regular Plan - Quarterly Div Option
147996,Franklin India Low Duration Fund-Direct- Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Direct Monthly - IDCW
146616,UTI Fixed Term Income Fund Series XXXI-VII (1155 Days) - Regular Plan - Quarterly IDCW
124219,ICICI Prudential Fixed Maturity Plan-Series 70-742 Days Plan D - Direct Plan - Cumulative
139247,Reliance Fixed Horizon Fund XXX- Series 18- Direct Plan-Growth Option
141937,Kotak FMP Series 212-Direct plan-Growth option
141263,ICICI Prudential Fixed Maturity Plan - Series 81 - 1101 Days Plan C - Direct Plan - Dividend Option
124595,UTI FIIF Annual Interval Plan II - Direct Plan - IDCW
145423,UTI Fixed Term Income Fund Series XXX-X (1267 Days) - Regular Plan - Annual IDCW
127083,Reliance Fixed Horizon Fund - XXV - Series 22 - Direct Plan - Growth Option
139651,Nippon India Fixed Horizon Fund XXXI- Series 8- Growth Option
120410,JM Liquid Fund (Direct) - Bonus Option - Bonus Option - Principal units
123113,ICICI Prudential Fixed Maturity Plan-Series 68-704 Days Plan L - Cumulative
107138,ICICI Prudential Interval Fund II - Quarterly Interval Plan D - Retail Dividend
106707,UTI Annual Interval Fund - II - Regular Plan - Growth Option
139410,Reliance Fixed Horizon Fund XXXI Series 2 - Dividend Payout Option
142739,HSBC Fixed Term Series 132 - Growth Option
142265,ICICI Prudential Fixed Maturity Plan - Series 82 - 1223 Days Plan E - Direct Plan Quarterly IDCW Option
130642,ICICI Prudential Capital Protection Oriented Fund - Series VI - 1100 Days Plan E Cumulative Option
142237,ICICI Prudential Fixed Maturity Plan - Series 82 - 1219 Days Plan D - Direct Plan Quarterly IDCW Option
126126,ICICI Prudential Fixed Maturity Plan-Series 72-368 Days Plan A - Direct Plan - Dividend
140434,ICICI Prudential Value Fund - Series 10 - Dividend Option
146535,ICICI Prudential Fixed Maturity Plan - Series 85 - 1156 Days Plan F - Half Yearly IDCW Option
148100,Nippon India Credit Risk Fund - Segregated Portfolio 1 - Institutional Growth Plan
146156,HDFC FMP 1175D January 2019 (1) - Quarterly IDCW Option
