fund_house,scheme_type,scheme_category,scheme_code,scheme_name,scheme_start_date
360 ONE Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,151796,360 ONE FLEXICAP FUND-DIRECT PLAN- GROWTH,"{'date': '06-07-2023', 'nav': '10.04820'}"
360 ONE Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,151798,360 ONE FLEXICAP FUND-DIRECT PLAN- IDCW,"{'date': '06-07-2023', 'nav': '10.04820'}"
360 ONE Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,151799,360 ONE FLEXICAP FUND-REGULAR PLAN- GROWTH,"{'date': '06-07-2023', 'nav': '10.04540'}"
360 ONE Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,151797,360 ONE FLEXICAP FUND-REGULAR PLAN- IDCW,"{'date': '06-07-2023', 'nav': '10.04540'}"
Canara Robeco Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,118275,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION,"{'date': '02-01-2013', 'nav': '64.39000'}"
Canara Robeco Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,118276,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),"{'date': '02-01-2013', 'nav': '28.06000'}"
Canara Robeco Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,101922,CANARA ROBECO FLEXICAP FUND - REGULAR PLAN - GROWTH OPTION,"{'date': '03-04-2006', 'nav': '30.13000'}"
Canara Robeco Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,101923,CANARA ROBECO FLEXICAP FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),"{'date': '03-04-2006', 'nav': '21.12000'}"
ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,148990,ICICI Prudential Flexicap Fund - Direct Plan - Growth,"{'date': '19-07-2021', 'nav': '10.00000'}"
ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,148991,ICICI Prudential Flexicap Fund - Direct Plan - IDCW,"{'date': '19-07-2021', 'nav': '10.00000'}"
ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,148989,ICICI Prudential Flexicap Fund - Growth,"{'date': '19-07-2021', 'nav': '10.00000'}"
ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,148988,ICICI Prudential Flexicap Fund - IDCW,"{'date': '19-07-2021', 'nav': '10.00000'}"
