scheme_code,scheme_name
Scheme Code,Scheme Name
129196,HSBC Income Plus Arbitrage Active FOF IDCW
150845,HDFC Nifty G-Sec Dec 2026 Index Fund - Growth Option - Direct Plan
141755,UTI FTIF Series XXVII-VI (1113 Days) - Regular Plan - Quarterly Div Option
110014,ICICI Prudential Interval Fund II Quarterly Interval Plan D - Dividend
141466,UTI Capital Protection Oriented Scheme Series IX-II ( 1462 Days) - Direct Plan - Growth Option
143128,ICICI Prudential Fixed Maturity Plan - Series 82 - 1119 Days Plan X - Direct Plan Quarterly IDCW Option
149165,Axis Value Fund - Regular Plan - IDCW
139822,PGIM India Aggressive Hybrid Equity Fund-Quarterly Dividend Option
149844,Axis Multi Factor Passive FoF - Regular Plan - Growth Option
135087,Reliance Dual Advantage Fixed Tenure Fund VIII- Plan A- Growth Option
122228,Reliance Yearly Interval Fund - Series 7- Dividend Option
152421,Axis BSE Sensex Index Fund - Regular Plan - Growth
129213,Sundaram Infrastructure Advantage Fund Regular Plan - Growth
141577,UTI FTIF Series XXVII-III (1096 Days) - Regular Plan - Quarterly Div Option
153861,HDFC Diversified Equity All Cap Active FOF - Regular Plan - Growth Plan
152371,SBI Nifty50 Equal Weight Index Fund - Direct Plan - Income Distribution Cum Capital Withdrawal Option
147996,Franklin India Low Duration Fund-Direct- Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Direct Monthly - IDCW
146616,UTI Fixed Term Income Fund Series XXXI-VII (1155 Days) - Regular Plan - Quarterly IDCW
143509,Baroda BNP Paribas Ultra Short Duration Fund- Direct Plan- Weekly IDCW
152821,ITI Large & Midcap Fund - Direct Plan - Growth
152995,Nippon India CRISIL - IBX AAA Financial Services - Dec 2026 Index Fund - Regular Plan - IDCW Option
151849,Bajaj Finserv Overnight Fund - Direct Plan - Growth
124219,ICICI Prudential Fixed Maturity Plan-Series 70-742 Days Plan D - Direct Plan - Cumulative
139247,Reliance Fixed Horizon Fund XXX- Series 18- Direct Plan-Growth Option
148239,UTI - Credit Risk Fund (Segregated - 06032020) - Direct Plan - Annual Dividend Option
153533,Samco Large & Mid Cap Fund - Regular Plan - Growth Option
152408,Bajaj Finserv Large and Mid Cap Fund- Direct Plan- Growth
153778,Edelweiss Multi Asset Omni Fund of Fund- Regular Plan - IDCW
101042,Tata Gilt Securities Fund -Regular Plan- Growth Option
141937,Kotak FMP Series 212-Direct plan-Growth option
154224,Aditya Birla Sun Life BSE Top 10 Banks ETF
152043,Bandhan Nifty IT Index Fund - Regular Plan - Growth
141263,ICICI Prudential Fixed Maturity Plan - Series 81 - 1101 Days Plan C - Direct Plan - Dividend Option
147159,ITI Liquid Fund - Direct Plan - Weekly IDCW Option
141839,ICICI Prudential BSE Sensex Index Fund - Cumulative Option
140084,Nippon India ETF Nifty 50 BeES
146960,Sundaram Overnight Fund Regular Plan - Monthly Payout of Income Distribution cum Capital Withdrawal (IDCW)
151180,HDFC Nifty G-Sec Jun 2027 Index Fund - Growth Option
124595,UTI FIIF Annual Interval Plan II - Direct Plan - IDCW
150725,Kotak Nifty SDL Plus AAA PSU Bond Jul 2028 60:40 Index Fund Direct Plan - Growth
108766,Bandhan Medium to Long Duration Fund - Regular Plan - Annual IDCW
152993,Nippon India CRISIL - IBX AAA Financial Services - Dec 2026 Index Fund - Direct Plan - IDCW Option
145423,UTI Fixed Term Income Fund Series XXX-X (1267 Days) - Regular Plan - Annual IDCW
127083,Reliance Fixed Horizon Fund - XXV - Series 22 - Direct Plan - Growth Option
151903,Union Innovation & Opportunities Fund - Regular Plan - Growth Option
153228,DSP BSE SENSEX Next 30 ETF
139651,Nippon India Fixed Horizon Fund XXXI- Series 8- Growth Option
120410,JM Liquid Fund (Direct) - Bonus Option - Bonus Option - Principal units
130722,Invesco India Credit Risk Fund - Direct Plan - Growth
149361,Tata Corporate Bond Fund-Direct Plan-Growth
141591,Axis Corporate Bond Fund - Direct Plan - Regular IDCW
123113,ICICI Prudential Fixed Maturity Plan-Series 68-704 Days Plan L - Cumulative
147577,Axis Money Market Fund - Regular Plan - Daily IDCW
146128,CANARA ROBECO SMALL CAP FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)
107138,ICICI Prudential Interval Fund II - Quarterly Interval Plan D - Retail Dividend
154209,Edelweiss Gold ETF Fund of Fund Regular Plan Growth Option
144395,Axis Aggressive Hybrid Fund - Direct Plan - Regular IDCW
147473,Kotak Focused Fund- Direct Plan- Growth option
106707,UTI Annual Interval Fund - II - Regular Plan - Growth Option
139410,Reliance Fixed Horizon Fund XXXI Series 2 - Dividend Payout Option
142739,HSBC Fixed Term Series 132 - Growth Option
133800,Kotak Infrastructure & Economic Reform Fund- Direct Plan- Payout of Income Distribution cum capital withdrawal option
148518,Nippon India Nifty Smallcap 250 Index Fund - Regular Plan - Growth Option
118527,Franklin India Dividend Yield Fund - Direct - Growth
149968,DSP Nifty SDL Plus G-Sec Jun 2028 30:70 Index Fund - Regular - Growth
142265,ICICI Prudential Fixed Maturity Plan - Series 82 - 1223 Days Plan E - Direct Plan Quarterly IDCW Option
130642,ICICI Prudential Capital Protection Oriented Fund - Series VI - 1100 Days Plan E Cumulative Option
142237,ICICI Prudential Fixed Maturity Plan - Series 82 - 1219 Days Plan D - Direct Plan Quarterly IDCW Option
126126,ICICI Prudential Fixed Maturity Plan-Series 72-368 Days Plan A - Direct Plan - Dividend
140434,ICICI Prudential Value Fund - Series 10 - Dividend Option
146535,ICICI Prudential Fixed Maturity Plan - Series 85 - 1156 Days Plan F - Half Yearly IDCW Option
100844,NIPPON INDIA LIQUID FUND - RETAIL Plan - QUARTERLY IDCW OPTION
148100,Nippon India Credit Risk Fund - Segregated Portfolio 1 - Institutional Growth Plan
120349,Invesco India Contra Fund - Direct Plan - IDCW (Payout / Reinvestment)
146156,HDFC FMP 1175D January 2019 (1) - Quarterly IDCW Option
130885,Reliance Dual Advantage Fixed Tenure Fund VI- Plan B- Direct Plan- DIvidend Payout Option
144302,ICICI Prudential Fixed Maturity Plan - Series 83 - 1100 Days Plan R - Direct Plan Cumulative Option
132995,Aditya Birla Sun Life Equity Savings Fund - Direct Plan - Growth
130007,ICICI Prudential Fixed Maturity Plan -Series 74 -370 Days Plan S Direct Plan Dividend Option
119570,Aditya Birla Sun Life Liquid Fund -Direct - weekly IDCW
124653,ICICI Prudential Fixed Maturity Plan-Series 70-368 Days Plan M - Direct Plan - Cumulative
142150,Nippon India Capital Builder Fund IV- Series D- Direct Plan-Dividend Payout Option
144481,NIPPON INDIA FIXED HORIZON FUND - XXXVIII - SERIES 11 - IDCW Option
151056,HSBC Equity Savings Fund - Regular Monthly IDCW
136420,UTI - Dual Advantage Fixed Term Series III-I (1998 Days) - Regular Plan - Growth Option
101862,Nippon India Banking & Financial Services Fund-Growth Plan-Growth Option
118419,Bandhan Large & Mid Cap Fund - Direct Plan - Growth
145391,HDFC FMP 1261D October 2018 (1) - Quarterly IDCW Option - Direct Plan
145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
